Emanuella,Fialho,1990-05-12 00:00:00,Brasília,Tênis,43,200,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Maryanna,Correa,1991-12-04,Fortaleza,Short,139,55,,,,,,,
Natália,Huon,1992-07-26,Curitiba,Short,66,55,,,,,,,
Joyce,Ribas,1990-01-21,Salvador,Pulseira,56,30,,,,,,,
Jucelia,Bailly,1991-08-09,Curitiba,Pulseira,49,30,,,,,,,
Andrew,Carvalhal,1989-08-09,Salvador,Sapato,128,230,,,,,,,
Patricia,Camara,1993-01-27,Fortaleza,Chinelo,65,25,,,,,,,
Eduarda,Figueiredo,1993-08-13,Brasília,Jaqueta,148,250,,,,,,,
Juliane,Felipi,1987-06-22,Curitiba,Sapato,27,230,,,,,,,
Emanuella,Fialho,1988-06-08,São Paulo,Tênis,86,200,,,,,,,
Iago,Bensdorp,1989-09-15,Rio de Janeiro,Sandália,127,110,,,,,,,
Juliane,Felipi,1985-06-25,Brasília,Short,36,55,,,,,,,
Iago,Bensdorp,1990-11-02,Salvador,Casaco,139,190,,,,,,,
Iago,Bensdorp,1989-03-20,Brasília,Sandália,137,110,,,,,,,
Breno,Amaral,1985-01-06,Salvador,Tênis,30,200,,,,,,,
Jucelia,Bailly,1987-06-13,Brasília,Pulseira,90,30,,,,,,,
Maryanna,Correa,1987-04-01,São Paulo,Tênis,114,200,,,,,,,
Jucelia,Bailly,1991-01-24,Rio de Janeiro,Vestido,24,300,,,,,,,
Jucelia,Bailly,1989-10-13,São Paulo,Vestido,104,300,,,,,,,
Andrew,Carvalhal,1992-01-12,Rio de Janeiro,Camiseta,53,85,,,,,,,
Jucelia,Bailly,1993-03-02,Brasília,Sandália,101,110,,,,,,,
Tayna,Coimbra,1986-01-13,Fortaleza,Chinelo,116,25,,,,,,,
Patricia,Camara,1992-11-01,Salvador,Chinelo,70,25,,,,,,,
Emanuella,Fialho,1987-09-24,Rio de Janeiro,Pulseira,25,30,,,,,,,
Eduarda,Figueiredo,1990-12-24,Curitiba,Chinelo,137,25,,,,,,,
Emanuella,Fialho,1989-09-29,Fortaleza,Pulseira,80,30,,,,,,,
Elizeu,Barros,1989-07-05,Salvador,Camiseta,66,85,,,,,,,
Maryanna,Correa,1991-03-21,Fortaleza,Sandália,85,110,,,,,,,
Elizeu,Barros,1993-10-13,Salvador,Saia,113,75,,,,,,,
Jucelia,Bailly,1985-11-25,Brasília,Bermuda,12,150,,,,,,,
Emanuella,Fialho,1991-03-30,Rio de Janeiro,Sandália,56,110,,,,,,,
Patricia,Camara,1993-06-05,Curitiba,Casaco,58,190,,,,,,,
Tayna,Coimbra,1993-06-27,Curitiba,Bermuda,146,150,,,,,,,
Paloma,Farias,1992-09-24,Curitiba,Short,20,55,,,,,,,
Jucelia,Bailly,1989-01-24,Salvador,Sapato,45,230,,,,,,,
Elizeu,Barros,1988-11-05,Rio de Janeiro,Saia,71,75,,,,,,,
Patricia,Camara,1987-10-03,Curitiba,Chinelo,98,25,,,,,,,
Natália,Huon,1989-01-04,Rio de Janeiro,Vestido,129,300,,,,,,,
Paloma,Farias,1987-08-01,Salvador,Short,129,55,,,,,,,
Juliane,Felipi,1985-09-07,Porto Alegre,Camiseta,31,85,,,,,,,
Natália,Huon,1992-09-12,Rio de Janeiro,Casaco,143,190,,,,,,,
Maryanna,Correa,1987-10-04,Fortaleza,Vestido,22,300,,,,,,,
Eduarda,Figueiredo,1988-07-31,Salvador,Camiseta,43,85,,,,,,,
Paloma,Farias,1987-05-06,Rio de Janeiro,Chinelo,129,25,,,,,,,
Maryanna,Correa,1985-03-28,Rio de Janeiro,Camiseta,113,85,,,,,,,
Emanuella,Fialho,1987-01-21,São Paulo,Casaco,92,190,,,,,,,
Iago,Bensdorp,1992-12-04,São Paulo,Chinelo,23,25,,,,,,,
Jucelia,Bailly,1986-02-10,Curitiba,Pulseira,5,30,,,,,,,
Andrew,Carvalhal,1989-09-26,Curitiba,Bermuda,5,150,,,,,,,
Paloma,Farias,1990-06-28,Salvador,Camiseta,101,85,,,,,,,
Juliane,Felipi,1990-10-06,São Paulo,Chinelo,83,25,,,,,,,
Elizeu,Barros,1987-02-20,Porto Alegre,Sandália,41,110,,,,,,,
Iago,Bensdorp,1989-07-28,São Paulo,Casaco,84,190,,,,,,,
Patricia,Camara,1987-06-09,São Paulo,Tênis,10,200,,,,,,,
Eduarda,Figueiredo,1989-06-09,Rio de Janeiro,Saia,7,75,,,,,,,
Emanuella,Fialho,1985-12-02,Curitiba,Sandália,106,110,,,,,,,
Izabel,Milagre,1988-06-06,Fortaleza,Sandália,5,110,,,,,,,
Maryanna,Correa,1989-11-06,Brasília,Tênis,91,200,,,,,,,
Izabel,Milagre,1985-06-04,São Paulo,Sapato,8,230,,,,,,,
Patricia,Camara,1989-11-05,Rio de Janeiro,Pulseira,3,30,,,,,,,
Breno,Amaral,1990-05-11,Rio de Janeiro,Jaqueta,30,250,,,,,,,
Breno,Amaral,1992-03-13,Salvador,Short,147,55,,,,,,,
Izabel,Milagre,1990-10-12,São Paulo,Chinelo,127,25,,,,,,,
Jucelia,Bailly,1985-08-12,Curitiba,Short,114,55,,,,,,,
Joyce,Ribas,1992-09-04,Rio de Janeiro,Casaco,98,190,,,,,,,
Patricia,Camara,1988-06-30,Salvador,Saia,92,75,,,,,,,
Joyce,Ribas,1990-02-24,Fortaleza,Sandália,39,110,,,,,,,
Paloma,Farias,1987-05-10,São Paulo,Short,23,55,,,,,,,
Patricia,Camara,1987-11-05,São Paulo,Camiseta,70,85,,,,,,,
Paloma,Farias,1988-02-13,Fortaleza,Short,50,55,,,,,,,
Andrew,Carvalhal,1993-12-03,Porto Alegre,Vestido,77,300,,,,,,,
Elizeu,Barros,1993-11-25,Fortaleza,Jaqueta,150,250,,,,,,,
Iago,Bensdorp,1992-03-26,Porto Alegre,Jaqueta,119,250,,,,,,,
Natália,Huon,1993-09-30,Porto Alegre,Chinelo,67,25,,,,,,,
Izabel,Milagre,1992-12-01,Porto Alegre,Saia,113,75,,,,,,,
Paloma,Farias,1988-10-04,São Paulo,Camiseta,91,85,,,,,,,
Eduarda,Figueiredo,1992-05-29,Brasília,Vestido,41,300,,,,,,,
Breno,Amaral,1988-02-16,Brasília,Short,47,55,,,,,,,
Eduarda,Figueiredo,1986-07-26,Rio de Janeiro,Tênis,25,200,,,,,,,
Andrew,Carvalhal,1989-07-20,Porto Alegre,Jaqueta,146,250,,,,,,,
Iago,Bensdorp,1986-07-16,São Paulo,Saia,8,75,,,,,,,
Juliane,Felipi,1991-08-18,Curitiba,Tênis,80,200,,,,,,,
Emanuella,Fialho,1987-09-09,Fortaleza,Pulseira,17,30,,,,,,,
Natália,Huon,1990-01-23,Porto Alegre,Jaqueta,75,250,,,,,,,
Iago,Bensdorp,1985-10-19,São Paulo,Camiseta,139,85,,,,,,,
Iago,Bensdorp,1989-07-06,Brasília,Sandália,32,110,,,,,,,
Izabel,Milagre,1990-07-25,Salvador,Chinelo,102,25,,,,,,,
Patricia,Camara,1987-05-10,Salvador,Sandália,102,110,,,,,,,
Paloma,Farias,1990-01-11,Brasília,Saia,89,75,,,,,,,
Andrew,Carvalhal,1990-09-18,Curitiba,Jaqueta,92,250,,,,,,,
Emanuella,Fialho,1986-12-15,Rio de Janeiro,Vestido,17,300,,,,,,,
Emanuella,Fialho,1987-05-25,Salvador,Sapato,9,230,,,,,,,
Patricia,Camara,1987-09-24,Porto Alegre,Pulseira,6,30,,,,,,,
Patricia,Camara,1989-12-30,Porto Alegre,Pulseira,36,30,,,,,,,
Breno,Amaral,1987-02-01,Rio de Janeiro,Casaco,68,190,,,,,,,
Breno,Amaral,1985-05-10,Curitiba,Chinelo,83,25,,,,,,,
Eduarda,Figueiredo,1993-06-28,Curitiba,Bermuda,85,150,,,,,,,
Paloma,Farias,1991-09-23,Rio de Janeiro,Sandália,67,110,,,,,,,
Patricia,Camara,1985-11-21,Rio de Janeiro,Tênis,51,200,,,,,,,
Maryanna,Correa,1990-05-22,Brasília,Camiseta,42,85,,,,,,,
Maryanna,Correa,1988-02-23,Porto Alegre,Jaqueta,33,250,,,,,,,
Tayna,Coimbra,1992-05-20,Fortaleza,Jaqueta,118,250,,,,,,,
Natália,Huon,1991-10-13,Brasília,Casaco,35,190,,,,,,,
Juliane,Felipi,1992-01-23,Salvador,Short,123,55,,,,,,,
Patricia,Camara,1991-05-30,Curitiba,Vestido,133,300,,,,,,,
Jucelia,Bailly,1987-11-16,Brasília,Saia,48,75,,,,,,,
Patricia,Camara,1985-07-07,Curitiba,Bermuda,48,150,,,,,,,
Juliane,Felipi,1991-10-18,São Paulo,Chinelo,139,25,,,,,,,
Joyce,Ribas,1992-03-05,Fortaleza,Casaco,125,190,,,,,,,
Breno,Amaral,1990-11-14,Brasília,Jaqueta,92,250,,,,,,,
Tayna,Coimbra,1986-10-10,Rio de Janeiro,Saia,60,75,,,,,,,
Patricia,Camara,1988-05-05,São Paulo,Bermuda,22,150,,,,,,,
Juliane,Felipi,1986-07-06,Fortaleza,Camiseta,35,85,,,,,,,
Joyce,Ribas,1992-12-28,Curitiba,Chinelo,101,25,,,,,,,
Breno,Amaral,1986-04-09,Rio de Janeiro,Short,72,55,,,,,,,
Izabel,Milagre,1985-07-11,Salvador,Vestido,118,300,,,,,,,
Tayna,Coimbra,1986-11-02,Curitiba,Saia,36,75,,,,,,,
Tayna,Coimbra,1987-05-23,Fortaleza,Saia,42,75,,,,,,,
Breno,Amaral,1991-03-13,Brasília,Chinelo,39,25,,,,,,,
Iago,Bensdorp,1986-03-09,Brasília,Sapato,116,230,,,,,,,
Elizeu,Barros,1987-01-19,Salvador,Jaqueta,107,250,,,,,,,
Emanuella,Fialho,1987-04-21,Brasília,Jaqueta,28,250,,,,,,,
Maryanna,Correa,1991-09-23,Curitiba,Casaco,112,190,,,,,,,
Eduarda,Figueiredo,1993-03-18,Rio de Janeiro,Vestido,59,300,,,,,,,
Patricia,Camara,1988-03-23,Brasília,Tênis,4,200,,,,,,,
Izabel,Milagre,1987-01-14,Curitiba,Pulseira,99,30,,,,,,,
Juliane,Felipi,1990-08-24,Rio de Janeiro,Vestido,30,300,,,,,,,
Elizeu,Barros,1987-05-25,Rio de Janeiro,Chinelo,35,25,,,,,,,
Elizeu,Barros,1990-04-20,Rio de Janeiro,Camiseta,78,85,,,,,,,
Patricia,Camara,1987-07-01,Rio de Janeiro,Saia,72,75,,,,,,,
Tayna,Coimbra,1987-01-19,Porto Alegre,Tênis,28,200,,,,,,,
Paloma,Farias,1993-09-26,Brasília,Camiseta,126,85,,,,,,,
Breno,Amaral,1986-06-19,Rio de Janeiro,Casaco,66,190,,,,,,,
Juliane,Felipi,1986-09-11,Rio de Janeiro,Jaqueta,37,250,,,,,,,
Andrew,Carvalhal,1991-06-07,São Paulo,Bermuda,21,150,,,,,,,
Eduarda,Figueiredo,1992-03-15,Fortaleza,Sandália,15,110,,,,,,,
Andrew,Carvalhal,1991-02-11,Rio de Janeiro,Casaco,122,190,,,,,,,
Natália,Huon,1987-04-11,Salvador,Chinelo,60,25,,,,,,,
Paloma,Farias,1987-07-29,Brasília,Vestido,16,300,,,,,,,
Breno,Amaral,1993-06-26,Fortaleza,Saia,33,75,,,,,,,
Elizeu,Barros,1991-11-06,Porto Alegre,Chinelo,94,25,,,,,,,
Paloma,Farias,1989-03-21,Brasília,Bermuda,78,150,,,,,,,
Breno,Amaral,1988-06-11,Brasília,Bermuda,54,150,,,,,,,
Maryanna,Correa,1985-12-16,Fortaleza,Sandália,99,110,,,,,,,
Paloma,Farias,1989-11-11,Brasília,Short,75,55,,,,,,,
Tayna,Coimbra,1988-12-03,Fortaleza,Camiseta,65,85,,,,,,,
Paloma,Farias,1986-12-26,Brasília,Vestido,148,300,,,,,,,
Patricia,Camara,1986-12-11,Rio de Janeiro,Chinelo,24,25,,,,,,,
Elizeu,Barros,1987-05-16,Fortaleza,Pulseira,132,30,,,,,,,
Juliane,Felipi,1987-06-12,Porto Alegre,Chinelo,126,25,,,,,,,
Natália,Huon,1986-09-17,São Paulo,Tênis,52,200,,,,,,,
Iago,Bensdorp,1986-04-14,Salvador,Bermuda,134,150,,,,,,,
Maryanna,Correa,1993-05-23,Rio de Janeiro,Vestido,123,300,,,,,,,
Juliane,Felipi,1991-06-28,Salvador,Vestido,14,300,,,,,,,
Izabel,Milagre,1990-02-05,Brasília,Pulseira,89,30,,,,,,,
Jucelia,Bailly,1985-12-05,Fortaleza,Vestido,103,300,,,,,,,
Maryanna,Correa,1987-04-25,Fortaleza,Casaco,104,190,,,,,,,
Joyce,Ribas,1987-05-16,Salvador,Tênis,93,200,,,,,,,
Maryanna,Correa,1986-05-13,Salvador,Camiseta,78,85,,,,,,,
Eduarda,Figueiredo,1992-05-15,Curitiba,Casaco,68,190,,,,,,,
Joyce,Ribas,1991-07-04,Rio de Janeiro,Camiseta,59,85,,,,,,,
Eduarda,Figueiredo,1991-06-12,Fortaleza,Tênis,150,200,,,,,,,
Maryanna,Correa,1989-03-20,São Paulo,Vestido,130,300,,,,,,,
Breno,Amaral,1989-06-24,Brasília,Chinelo,106,25,,,,,,,
Iago,Bensdorp,1985-07-27,Fortaleza,Short,32,55,,,,,,,
Natália,Huon,1985-03-07,Fortaleza,Sapato,115,230,,,,,,,
Elizeu,Barros,1991-05-23,Brasília,Bermuda,100,150,,,,,,,
Andrew,Carvalhal,1985-01-19,Fortaleza,Sapato,15,230,,,,,,,
Tayna,Coimbra,1988-05-31,Curitiba,Pulseira,63,30,,,,,,,
Izabel,Milagre,1986-04-22,Curitiba,Saia,44,75,,,,,,,
Joyce,Ribas,1993-11-08,Salvador,Tênis,137,200,,,,,,,
Natália,Huon,1991-07-21,Porto Alegre,Bermuda,57,150,,,,,,,
Izabel,Milagre,1989-05-14,São Paulo,Vestido,112,300,,,,,,,
Breno,Amaral,1987-09-03,Fortaleza,Saia,5,75,,,,,,,
Iago,Bensdorp,1990-09-29,Curitiba,Tênis,33,200,,,,,,,
Joyce,Ribas,1991-11-08,Salvador,Casaco,94,190,,,,,,,
Natália,Huon,1986-10-16,Fortaleza,Casaco,134,190,,,,,,,
Iago,Bensdorp,1993-04-01,São Paulo,Saia,106,75,,,,,,,
Patricia,Camara,1985-12-11,São Paulo,Camiseta,61,85,,,,,,,
Patricia,Camara,1985-05-19,Porto Alegre,Chinelo,105,25,,,,,,,
Iago,Bensdorp,1989-06-06,São Paulo,Pulseira,10,30,,,,,,,
Tayna,Coimbra,1987-08-05,Salvador,Sapato,107,230,,,,,,,
Emanuella,Fialho,1986-04-14,São Paulo,Short,49,55,,,,,,,
Emanuella,Fialho,1992-11-30,Curitiba,Jaqueta,102,250,,,,,,,
Paloma,Farias,1990-03-16,Porto Alegre,Chinelo,18,25,,,,,,,
Andrew,Carvalhal,1990-07-29,Brasília,Bermuda,46,150,,,,,,,
Elizeu,Barros,1990-08-10,Rio de Janeiro,Short,92,55,,,,,,,
Jucelia,Bailly,1985-06-10,Curitiba,Sandália,28,110,,,,,,,
Iago,Bensdorp,1987-08-09,Porto Alegre,Camiseta,56,85,,,,,,,
Tayna,Coimbra,1985-11-10,Rio de Janeiro,Pulseira,37,30,,,,,,,
Juliane,Felipi,1989-05-04,Brasília,Pulseira,55,30,,,,,,,
Andrew,Carvalhal,1991-06-17,Salvador,Sandália,130,110,,,,,,,
Joyce,Ribas,1989-03-27,Rio de Janeiro,Sapato,126,230,,,,,,,
Izabel,Milagre,1986-11-16,Curitiba,Tênis,111,200,,,,,,,
Joyce,Ribas,1986-08-12,Porto Alegre,Saia,10,75,,,,,,,
Eduarda,Figueiredo,1988-06-09,Rio de Janeiro,Saia,44,75,,,,,,,
Elizeu,Barros,1992-11-11,Fortaleza,Vestido,140,300,,,,,,,
Breno,Amaral,1993-06-08,Fortaleza,Chinelo,130,25,,,,,,,
Juliane,Felipi,1989-03-16,Curitiba,Jaqueta,137,250,,,,,,,
Jucelia,Bailly,1989-07-05,Porto Alegre,Vestido,95,300,,,,,,,
Izabel,Milagre,1991-11-04,São Paulo,Vestido,61,300,,,,,,,
Natália,Huon,1993-04-10,Curitiba,Pulseira,33,30,,,,,,,
Iago,Bensdorp,1990-11-07,Porto Alegre,Pulseira,38,30,,,,,,,
Breno,Amaral,1987-05-22,Salvador,Chinelo,14,25,,,,,,,
Juliane,Felipi,1991-04-29,Curitiba,Pulseira,25,30,,,,,,,
Juliane,Felipi,1991-09-07,São Paulo,Short,35,55,,,,,,,
Natália,Huon,1991-07-04,Rio de Janeiro,Saia,116,75,,,,,,,
Patricia,Camara,1985-11-12,Porto Alegre,Sapato,68,230,,,,,,,
Paloma,Farias,1985-05-04,Brasília,Casaco,7,190,,,,,,,
Andrew,Carvalhal,1990-10-15,São Paulo,Pulseira,23,30,,,,,,,
Paloma,Farias,1993-03-02,Curitiba,Tênis,28,200,,,,,,,
Patricia,Camara,1989-10-26,Porto Alegre,Tênis,3,200,,,,,,,
Andrew,Carvalhal,1993-01-11,Rio de Janeiro,Sapato,69,230,,,,,,,
Andrew,Carvalhal,1987-12-13,Fortaleza,Short,19,55,,,,,,,
Maryanna,Correa,1993-05-15,São Paulo,Sapato,140,230,,,,,,,
Andrew,Carvalhal,1985-10-13,Salvador,Tênis,91,200,,,,,,,
Joyce,Ribas,1991-04-19,Rio de Janeiro,Camiseta,79,85,,,,,,,
Breno,Amaral,1991-03-09,Curitiba,Tênis,46,200,,,,,,,
Paloma,Farias,1986-02-20,São Paulo,Pulseira,72,30,,,,,,,
Maryanna,Correa,1988-03-17,Porto Alegre,Short,132,55,,,,,,,
Juliane,Felipi,1989-07-05,Fortaleza,Sapato,136,230,,,,,,,
Juliane,Felipi,1988-03-26,São Paulo,Vestido,12,300,,,,,,,
Elizeu,Barros,1985-09-01,Rio de Janeiro,Camiseta,80,85,,,,,,,
Breno,Amaral,1990-12-17,Salvador,Sapato,4,230,,,,,,,
Maryanna,Correa,1993-07-30,Rio de Janeiro,Sapato,94,230,,,,,,,
Iago,Bensdorp,1993-05-04,Porto Alegre,Pulseira,132,30,,,,,,,
Juliane,Felipi,1993-08-14,Fortaleza,Vestido,97,300,,,,,,,
Patricia,Camara,1992-09-25,Rio de Janeiro,Tênis,49,200,,,,,,,
Jucelia,Bailly,1991-11-01,Brasília,Sandália,25,110,,,,,,,
Maryanna,Correa,1992-09-03,Porto Alegre,Vestido,116,300,,,,,,,
Breno,Amaral,1987-03-18,Rio de Janeiro,Sapato,9,230,,,,,,,
Jucelia,Bailly,1988-05-17,Porto Alegre,Camiseta,108,85,,,,,,,
Izabel,Milagre,1985-11-08,Fortaleza,Saia,76,75,,,,,,,
Natália,Huon,1992-11-26,Salvador,Bermuda,10,150,,,,,,,
Eduarda,Figueiredo,1986-05-22,Fortaleza,Bermuda,148,150,,,,,,,
Juliane,Felipi,1986-10-20,Curitiba,Camiseta,124,85,,,,,,,
Jucelia,Bailly,1993-12-09,São Paulo,Saia,128,75,,,,,,,
Patricia,Camara,1991-10-29,Porto Alegre,Vestido,2,300,,,,,,,
Tayna,Coimbra,1985-07-10,Porto Alegre,Casaco,32,190,,,,,,,
Izabel,Milagre,1988-04-04,Rio de Janeiro,Camiseta,79,85,,,,,,,
Emanuella,Fialho,1986-05-03,Curitiba,Chinelo,78,25,,,,,,,
Eduarda,Figueiredo,1987-06-28,Salvador,Camiseta,80,85,,,,,,,
Patricia,Camara,1991-03-05,Porto Alegre,Tênis,24,200,,,,,,,
Iago,Bensdorp,1992-10-09,Fortaleza,Chinelo,2,25,,,,,,,
Natália,Huon,1990-10-05,Salvador,Sapato,52,230,,,,,,,
Andrew,Carvalhal,1985-02-12,Rio de Janeiro,Sandália,136,110,,,,,,,
Andrew,Carvalhal,1990-02-14,Salvador,Sapato,17,230,,,,,,,
Paloma,Farias,1987-05-23,Curitiba,Casaco,141,190,,,,,,,
Joyce,Ribas,1989-12-13,Salvador,Sapato,99,230,,,,,,,
Maryanna,Correa,1989-06-20,Fortaleza,Saia,64,75,,,,,,,
Patricia,Camara,1985-10-15,Porto Alegre,Chinelo,10,25,,,,,,,
Maryanna,Correa,1992-02-06,São Paulo,Casaco,79,190,,,,,,,
Emanuella,Fialho,1991-07-20,Rio de Janeiro,Jaqueta,68,250,,,,,,,
Maryanna,Correa,1991-09-13,Fortaleza,Casaco,84,190,,,,,,,
Elizeu,Barros,1986-08-19,Fortaleza,Chinelo,67,25,,,,,,,
Izabel,Milagre,1986-03-14,Fortaleza,Sandália,118,110,,,,,,,
Maryanna,Correa,1989-04-09,São Paulo,Camiseta,67,85,,,,,,,
Elizeu,Barros,1985-10-11,Brasília,Sapato,109,230,,,,,,,
Tayna,Coimbra,1989-11-18,Curitiba,Short,102,55,,,,,,,
Tayna,Coimbra,1991-06-01,Salvador,Camiseta,138,85,,,,,,,
Iago,Bensdorp,1990-10-29,Fortaleza,Jaqueta,96,250,,,,,,,
Juliane,Felipi,1991-03-30,São Paulo,Short,108,55,,,,,,,
Andrew,Carvalhal,1989-07-15,Rio de Janeiro,Casaco,46,190,,,,,,,
Patricia,Camara,1993-11-25,Salvador,Sandália,69,110,,,,,,,
Paloma,Farias,1991-08-01,Salvador,Bermuda,91,150,,,,,,,
Patricia,Camara,1989-12-14,Salvador,Bermuda,122,150,,,,,,,
Eduarda,Figueiredo,1988-05-02,Salvador,Short,13,55,,,,,,,
Joyce,Ribas,1986-04-21,Fortaleza,Vestido,60,300,,,,,,,
Emanuella,Fialho,1991-07-15,Salvador,Short,66,55,,,,,,,
Elizeu,Barros,1990-07-01,Porto Alegre,Jaqueta,3,250,,,,,,,
Izabel,Milagre,1990-11-20,Porto Alegre,Pulseira,79,30,,,,,,,
Natália,Huon,1991-09-02,São Paulo,Sandália,31,110,,,,,,,
Breno,Amaral,1993-07-05,Rio de Janeiro,Chinelo,49,25,,,,,,,
Izabel,Milagre,1990-01-19,Rio de Janeiro,Casaco,88,190,,,,,,,
Maryanna,Correa,1991-06-28,Salvador,Pulseira,38,30,,,,,,,
Jucelia,Bailly,1992-02-10,São Paulo,Short,133,55,,,,,,,
Maryanna,Correa,1991-07-05,Curitiba,Sandália,95,110,,,,,,,
Jucelia,Bailly,1991-01-17,Rio de Janeiro,Sandália,39,110,,,,,,,
Patricia,Camara,1985-12-09,Curitiba,Chinelo,136,25,,,,,,,
Natália,Huon,1990-05-25,Curitiba,Saia,73,75,,,,,,,
Maryanna,Correa,1993-01-02,Brasília,Sapato,65,230,,,,,,,
Maryanna,Correa,1993-10-29,Rio de Janeiro,Tênis,15,200,,,,,,,
Paloma,Farias,1990-02-20,Fortaleza,Sandália,33,110,,,,,,,
Tayna,Coimbra,1992-01-27,Salvador,Casaco,79,190,,,,,,,
Joyce,Ribas,1985-11-07,Rio de Janeiro,Chinelo,110,25,,,,,,,
Iago,Bensdorp,1986-11-05,Curitiba,Casaco,83,190,,,,,,,
Joyce,Ribas,1993-05-01,Brasília,Pulseira,84,30,,,,,,,
